---- RAPORT Z DNIA 21.03.2026 19:55:11 ----

ALBANIAN SIMILARITY:
bosnian: 94.599%
catalan: 95.245%
croatian: 94.552%
czech: 90.811%
danish: 95.325%
dutch: 95.330%
english: 95.693%
estonian: 100.000%
finnish: 98.006%
french: 93.845%
galician: 94.280%
german: 93.997%
hungarian: 92.370%
icelandic: 93.178%
indonesian: 96.786%
italian: 94.964%
latvian: 92.856%
lithuanian: 95.330%
malay: 96.758%
norwegian: 95.968%
polish: 86.380%
portuguese: 94.589%
serbian: 94.506%
slovak: 92.163%
spanish: 94.706%
swedish: 96.524%
turkish: 93.688%

FINNISH SIMILARITY:
albanian: 93.635%
basque: 94.061%
bosnian: 92.916%
catalan: 93.795%
croatian: 92.918%
czech: 89.712%
danish: 94.479%
dutch: 94.345%
english: 94.594%
estonian: 98.006%
finnish: 100.000%
french: 92.840%
galician: 92.502%
german: 93.275%
hungarian: 91.905%
icelandic: 92.179%
indonesian: 95.199%
italian: 93.893%
latvian: 91.106%
lithuanian: 94.784%
malay: 95.160%
norwegian: 95.529%
polish: 85.649%
portuguese: 92.774%
serbian: 92.782%
slovak: 91.080%
spanish: 92.947%
swedish: 96.175%
turkish: 91.896%

FRENCH SIMILARITY:
albanian: 93.870%
basque: 94.622%
bosnian: 93.505%
catalan: 99.042%
croatian: 93.373%
czech: 91.195%
danish: 95.825%
dutch: 96.384%
english: 98.479%
estonian: 93.845%
finnish: 92.840%
french: 100.000%
galician: 98.245%
german: 95.714%
hungarian: 92.995%
icelandic: 91.430%
indonesian: 94.590%
italian: 98.372%
latvian: 90.992%
lithuanian: 92.236%
malay: 94.609%
norwegian: 96.245%
polish: 88.611%
portuguese: 98.360%
serbian: 93.194%
slovak: 92.605%
spanish: 98.376%
swedish: 95.393%
turkish: 91.942%

GALICIAN SIMILARITY:
albanian: 93.798%
basque: 95.467%
bosnian: 94.536%
catalan: 99.485%
croatian: 94.352%
czech: 91.639%
danish: 94.538%
dutch: 95.611%
english: 97.744%
estonian: 94.280%
finnish: 92.502%
french: 98.245%
galician: 100.000%
german: 94.124%
hungarian: 92.802%
icelandic: 90.931%
indonesian: 95.413%
italian: 98.891%
latvian: 91.357%
lithuanian: 93.070%
malay: 95.466%
norwegian: 94.982%
polish: 89.406%
portuguese: 99.799%
serbian: 94.338%
slovak: 93.333%
spanish: 99.879%
swedish: 94.854%
turkish: 92.611%

GERMAN SIMILARITY:
albanian: 93.048%
basque: 93.826%
bosnian: 91.343%
catalan: 95.628%
croatian: 91.235%
czech: 89.178%
danish: 97.470%
dutch: 98.649%
english: 97.628%
estonian: 93.997%
finnish: 93.275%
french: 95.714%
galician: 94.124%
german: 100.000%
hungarian: 91.708%
icelandic: 92.515%
indonesian: 94.074%
italian: 95.161%
latvian: 89.542%
lithuanian: 90.105%
malay: 94.299%
norwegian: 97.629%
polish: 88.637%
portuguese: 94.476%
serbian: 90.896%
slovak: 90.713%
spanish: 94.504%
swedish: 97.135%
turkish: 92.117%

HUNGARIAN SIMILARITY:
albanian: 91.486%
basque: 92.839%
bosnian: 92.714%
catalan: 93.372%
croatian: 92.649%
czech: 93.299%
danish: 93.488%
dutch: 93.233%
english: 93.402%
estonian: 92.370%
finnish: 91.905%
french: 92.995%
galician: 92.802%
german: 91.708%
hungarian: 100.000%
icelandic: 90.770%
indonesian: 92.484%
italian: 92.512%
latvian: 89.290%
lithuanian: 90.035%
malay: 92.504%
norwegian: 93.915%
polish: 89.786%
portuguese: 92.957%
serbian: 92.531%
slovak: 93.771%
spanish: 93.084%
swedish: 93.948%
turkish: 92.915%

ICELANDIC SIMILARITY:
albanian: 91.691%
basque: 90.858%
bosnian: 91.200%
catalan: 92.368%
croatian: 91.268%
czech: 88.535%
danish: 94.204%
dutch: 92.404%
english: 93.310%
estonian: 93.178%
finnish: 92.179%
french: 91.430%
galician: 90.931%
german: 92.515%
hungarian: 90.770%
icelandic: 100.000%
indonesian: 92.585%
italian: 91.612%
latvian: 89.394%
lithuanian: 91.488%
malay: 92.650%
norwegian: 94.284%
polish: 84.945%
portuguese: 91.502%
serbian: 90.935%
slovak: 89.791%
spanish: 91.364%
swedish: 95.535%
turkish: 91.930%

INDONESIAN SIMILARITY:
albanian: 94.646%
basque: 96.759%
bosnian: 94.238%
catalan: 96.231%
croatian: 94.152%
czech: 90.406%
danish: 94.426%
dutch: 95.237%
english: 96.477%
estonian: 96.786%
finnish: 95.199%
french: 94.590%
galician: 95.413%
german: 94.074%
hungarian: 92.484%
icelandic: 92.585%
indonesian: 100.000%
italian: 95.737%
latvian: 91.174%
lithuanian: 93.908%
malay: 99.966%
norwegian: 95.114%
polish: 88.712%
portuguese: 95.496%
serbian: 94.087%
slovak: 92.256%
spanish: 95.931%
swedish: 95.723%
turkish: 95.675%

ITALIAN SIMILARITY:
albanian: 94.443%
basque: 96.036%
bosnian: 95.500%
catalan: 99.216%
croatian: 95.380%
czech: 91.519%
danish: 95.573%
dutch: 96.499%
english: 98.440%
estonian: 94.964%
finnish: 93.893%
french: 98.372%
galician: 98.891%
german: 95.161%
hungarian: 92.512%
icelandic: 91.612%
indonesian: 95.737%
italian: 100.000%
latvian: 91.433%
lithuanian: 93.581%
malay: 95.791%
norwegian: 96.120%
polish: 90.026%
portuguese: 98.849%
serbian: 95.288%
slovak: 93.582%
spanish: 99.110%
swedish: 95.816%
turkish: 92.218%

LATVIAN SIMILARITY:
albanian: 90.357%
basque: 91.355%
bosnian: 93.914%
catalan: 91.893%
croatian: 93.857%
czech: 90.891%
danish: 90.276%
dutch: 91.028%
english: 91.714%
estonian: 92.856%
finnish: 91.106%
french: 90.992%
galician: 91.357%
german: 89.542%
hungarian: 89.290%
icelandic: 89.394%
indonesian: 91.174%
italian: 91.433%
latvian: 100.000%
lithuanian: 95.533%
malay: 91.102%
norwegian: 90.761%
polish: 89.959%
portuguese: 91.492%
serbian: 93.736%
slovak: 92.409%
spanish: 91.827%
swedish: 91.338%
turkish: 89.453%

LITHUANIAN SIMILARITY:
albanian: 92.161%
basque: 93.973%
bosnian: 95.108%
catalan: 93.561%
croatian: 95.106%
czech: 91.494%
danish: 91.983%
dutch: 92.006%
english: 93.203%
estonian: 95.330%
finnish: 94.784%
french: 92.236%
galician: 93.070%
german: 90.105%
hungarian: 90.035%
icelandic: 91.488%
indonesian: 93.908%
italian: 93.581%
latvian: 95.533%
lithuanian: 100.000%
malay: 93.824%
norwegian: 92.680%
polish: 88.091%
portuguese: 93.250%
serbian: 95.130%
slovak: 93.291%
spanish: 93.346%
swedish: 92.956%
turkish: 90.640%

MALAY SIMILARITY:
albanian: 94.660%
basque: 96.856%
bosnian: 94.238%
catalan: 96.279%
croatian: 94.153%
czech: 90.353%
danish: 94.600%
dutch: 95.430%
english: 96.619%
estonian: 96.758%
finnish: 95.160%
french: 94.609%
galician: 95.466%
german: 94.299%
hungarian: 92.504%
icelandic: 92.650%
indonesian: 99.966%
italian: 95.791%
latvian: 91.102%
lithuanian: 93.824%
malay: 100.000%
norwegian: 95.260%
polish: 88.784%
portuguese: 95.544%
serbian: 94.067%
slovak: 92.242%
spanish: 95.987%
swedish: 95.883%
turkish: 95.748%

NORWEGIAN SIMILARITY:
albanian: 94.716%
basque: 94.864%
bosnian: 93.921%
catalan: 96.447%
croatian: 93.849%
czech: 90.626%
danish: 99.781%
dutch: 98.589%
english: 97.931%
estonian: 95.968%
finnish: 95.529%
french: 96.245%
galician: 94.982%
german: 97.629%
hungarian: 93.915%
icelandic: 94.284%
indonesian: 95.114%
italian: 96.120%
latvian: 90.761%
lithuanian: 92.680%
malay: 95.260%
norwegian: 100.000%
polish: 87.714%
portuguese: 95.269%
serbian: 93.671%
slovak: 92.313%
spanish: 95.483%
swedish: 99.075%
turkish: 93.112%

POLISH SIMILARITY:
albanian: 88.098%
basque: 89.211%
bosnian: 91.974%
catalan: 89.569%
croatian: 91.868%
czech: 91.598%
danish: 87.405%
dutch: 89.708%
english: 90.601%
estonian: 86.380%
finnish: 85.649%
french: 88.611%
galician: 89.406%
german: 88.637%
hungarian: 89.786%
icelandic: 84.945%
indonesian: 88.712%
italian: 90.026%
latvian: 89.959%
lithuanian: 88.091%
malay: 88.784%
norwegian: 87.714%
polish: 100.000%
portuguese: 88.903%
serbian: 91.637%
slovak: 93.291%
spanish: 90.036%
swedish: 88.141%
turkish: 87.639%

PORTUGUESE SIMILARITY:
albanian: 94.078%
basque: 95.491%
bosnian: 94.341%
catalan: 99.475%
croatian: 94.162%
czech: 91.452%
danish: 94.916%
dutch: 95.747%
english: 97.819%
estonian: 94.589%
finnish: 92.774%
french: 98.360%
galician: 99.799%
german: 94.476%
hungarian: 92.957%
icelandic: 91.502%
indonesian: 95.496%
italian: 98.849%
latvian: 91.492%
lithuanian: 93.250%
malay: 95.544%
norwegian: 95.269%
polish: 88.903%
portuguese: 100.000%
serbian: 94.136%
slovak: 93.136%
spanish: 99.711%
swedish: 95.160%
turkish: 92.924%

SERBIAN SIMILARITY:
albanian: 93.741%
basque: 93.787%
bosnian: 99.969%
catalan: 94.530%
croatian: 99.949%
czech: 96.185%
danish: 93.140%
dutch: 93.866%
english: 94.221%
estonian: 94.506%
finnish: 92.782%
french: 93.194%
galician: 94.338%
german: 90.896%
hungarian: 92.531%
icelandic: 90.935%
indonesian: 94.087%
italian: 95.288%
latvian: 93.736%
lithuanian: 95.130%
malay: 94.067%
norwegian: 93.671%
polish: 91.637%
portuguese: 94.136%
serbian: 100.000%
slovak: 97.531%
spanish: 94.840%
swedish: 93.678%
turkish: 90.331%

SLOVAK SIMILARITY:
albanian: 91.547%
basque: 91.764%
bosnian: 97.613%
catalan: 93.302%
croatian: 97.592%
czech: 99.476%
danish: 91.829%
dutch: 92.813%
english: 93.688%
estonian: 92.163%
finnish: 91.080%
french: 92.605%
galician: 93.333%
german: 90.713%
hungarian: 93.771%
icelandic: 89.791%
indonesian: 92.256%
italian: 93.582%
latvian: 92.409%
lithuanian: 93.291%
malay: 92.242%
norwegian: 92.313%
polish: 93.291%
portuguese: 93.136%
serbian: 97.531%
slovak: 100.000%
spanish: 93.703%
swedish: 92.271%
turkish: 89.885%

SPANISH SIMILARITY:
albanian: 94.298%
basque: 95.745%
bosnian: 95.048%
catalan: 99.606%
croatian: 94.880%
czech: 91.934%
danish: 95.039%
dutch: 96.048%
english: 98.042%
estonian: 94.706%
finnish: 92.947%
french: 98.376%
galician: 99.879%
german: 94.504%
hungarian: 93.084%
icelandic: 91.364%
indonesian: 95.931%
italian: 99.110%
latvian: 91.827%
lithuanian: 93.346%
malay: 95.987%
norwegian: 95.483%
polish: 90.036%
portuguese: 99.711%
serbian: 94.840%
slovak: 93.703%
spanish: 100.000%
swedish: 95.375%
turkish: 92.993%

SWEDISH SIMILARITY:
albanian: 94.323%
basque: 94.730%
bosnian: 93.948%
catalan: 96.245%
croatian: 93.922%
czech: 90.606%
danish: 98.934%
dutch: 97.778%
english: 97.452%
estonian: 96.524%
finnish: 96.175%
french: 95.393%
galician: 94.854%
german: 97.135%
hungarian: 93.948%
icelandic: 95.535%
indonesian: 95.723%
italian: 95.816%
latvian: 91.338%
lithuanian: 92.956%
malay: 95.883%
norwegian: 99.075%
polish: 88.141%
portuguese: 95.160%
serbian: 93.678%
slovak: 92.271%
spanish: 95.375%
swedish: 100.000%
turkish: 94.035%

TURKISH SIMILARITY:
albanian: 90.707%
basque: 93.576%
bosnian: 90.606%
catalan: 93.345%
croatian: 90.482%
czech: 88.606%
danish: 92.822%
dutch: 92.572%
english: 93.570%
estonian: 93.688%
finnish: 91.896%
french: 91.942%
galician: 92.611%
german: 92.117%
hungarian: 92.915%
icelandic: 91.930%
indonesian: 95.675%
italian: 92.218%
latvian: 89.453%
lithuanian: 90.640%
malay: 95.748%
norwegian: 93.112%
polish: 87.639%
portuguese: 92.924%
serbian: 90.331%
slovak: 89.885%
spanish: 92.993%
swedish: 94.035%
turkish: 100.000%
